Number,Participation,score_neg,score_neu,score_pos,sentimiento_real
2.0,"Yo en esta carta escribiría que se resolviera la especulación de la burbuja inmobiliaria. porque es absurdo justamente no lo que como lo que Comenta Una nave que las rentas alcanzan precios exorbitantes ridículos no este que ninguno de nosotros va a poder tener una vivienda propia este no lo digo yo no lo dicen las estadísticas es imposible las mates no dan para que ganando un suelo un sueldo decente en la Ciudad de México podamos tener una vivienda digna no ya no es este. ya pasó de ser algo necesario, sino un lujo inclusive no llegar a vivir",0.16120263934135437,0.7738489508628845,0.0649484246969223,-0.09625421464443207
2.0,"Pues obviamente sería la delincuencia que sí que ser radique totalmente la delincuencia porque sí está muy alta y Sí también lo de la gentrificación, pero lamentablemente quería hacer un comentario de la gentrificación que eso es un problema que veo difícil ",0.3408803641796112,0.6017781496047974,0.05734154209494591,-0.283538818359375
2.0,Pues yo creo que está con mucha delincuencia todavía y los precios la economía está muy baja Tenemos muchos problemas con nuestros con nuestros precios con nuestra canasta básica es muy cara. Deja de ser una canasta básica. ,0.22521112859249115,0.7060371041297913,0.06875178962945938,-0.15645933151245117
2.0,"Escuché que en ese sexenio la corrupción bajó mucho, pero no significa que se haya acabado del todo porque pues obviamente siguen habiendo problemas en el país, pero sí como que avanzó mucho en diferentes aspectos como para el bien, en yo siento que sí, O sea para acabar un país completamente y que sea mejor si la corrupción porque tiene como de varias cabezas como que no puedes hacer bien Esto sin como en las percibes, por ejemplo como de que les dan una comida muy mínima y eso hace que aumente o siga viendo inseguridad porque justo la corrupción es muy muy grande o en el en el desempleo como empresarios muy grandes ganan mucho dinero y como que eso hace que no pueda las personas también preparadas este entrar a este tipo de negocios Entonces yo sí escuché que que bajo la corrupción que a muchos empresarios y gobernantes como que les bajaron el suero o simplemente ya no trabajan ahí, pero si 100% es este. sin corrupción",0.1821800172328949,0.7847707867622375,0.03304923698306084,-0.14913077652454376
2.0,Este pues en el caso de Coyoacán creo que los principales problemas son la movilidad y el transporte Porque por ejemplo para los que tienen carros no hay lugares para estacionarse en algunos las calles son muy pequeñas o están como muy feas en algunas partes de Coyoacán cambia mucho los servicios públicos como la recolección de basura la limpieza de las calles. La iluminación como ya mencionaban entonces siento que son como esos pequeños pastorcitos que son los que fallan en esta,0.13094164431095123,0.8233540058135986,0.04570428654551506,-0.08523735404014587
2.0,"Siempre ha habido el problema de la seguridad. y El transporte público Sí o sea sí, sí, está padre. Sí nos ayuda, pero de repente sí se vuelve un conflicto porque pues obviamente como ya estamos muy saturados y somos muchos. Pues ya no falta la persona con la que te pelees en el metrobús o en el metro y creo que es eso los problemas principales que yo he vivido personalmente.",0.15292909741401672,0.7919169664382935,0.0551539771258831,-0.09777511656284332
2.0,"Los tres principales problemas, yo creo que al igual que mi compañera tengo que estar de acuerdo en decir que la inflación de los precios. Me parece que ese es un problema que sucede un fenómeno que sucede mucho en las ciudades. Como número dos también sería. Pues sí que a veces es un poco salvaje de la ciudad tienes que andar con cuidado. Ajá y el tercer problema A lo mejor sería como pues no sé como que hay mucha. Iba a decir en seguridad Sí con que hay mucha inseguridad.",0.16694030165672302,0.7733691334724426,0.05969056487083435,-0.10724973678588867
2.0,"Creo que la contaminación es uno de los temas que preocupan bastante aquí en la ciudad. La otra que creo que también ya la había mencionado Es sobre la crisis de agua, no que hace falta este en gran parte de la ciudad. Y pues no sé si se pueda tomar tanto como crisis o un problema, que sí lo es, pero no sé si puedas afectar como que muchas personas ",0.1762866973876953,0.7757657766342163,0.04794752970337868,-0.12833917140960693
2.0,"Lo que no me gusta tanto es sí, lo del tráfico O sea si luego como me quedan cerca de unas avenidas principales Luego si hay un tráfico horrible, o sea, está súper mal. ",0.5458842515945435,0.41417601704597473,0.039939746260643005,-0.5059444904327393
2.0,La inseguridad en primera la calidad de vida por tanta contaminación que se vive y yo creo que fuera de eso no tanto Ciudad de México sino en general. el gobierno que se tiene,0.09997217357158661,0.8358213305473328,0.06420650333166122,-0.035765670239925385
2.0,"Yo creo principalmente que hoy en día los problemas que genuinamente están generando conflicto a las personas que somos nativas de la Ciudad de México es en este caso la gentrificación que estamos viviendo Pues en todas las colonias famosas. este Obviamente el problema de inseguridad creo que eso es un problema general en todo el país y no podemos descartar la Ciudad de México Y pues el tema de la escasez de agua no, que pues todo el Valle de México todo el área metropolitana se está viendo este estamos ya llegando o ya llegamos al día cero con el tema del agua.",0.1632893681526184,0.7910122275352478,0.04569835588335991,-0.1175910085439682
2.0,"Yo siento que uno de los problemas que también se tiene yo creo que se podría hacer en cuestión del control de las calles, No sé ustedes, pero aquí al menos donde yo vivo en cada esquina a la que caminas hay o están fumando o están fumando hay restas a cada rato. Yo creo que eso es algo que se puede modificar porque pues. Bueno mi mamá vive en el Estado de México y allá no es regular que vayas caminando y te encuentres fiestas por todos lados y peleas",0.09195400029420853,0.8120076060295105,0.09603840112686157,0.004084400832653046
2.0,"Bueno, los principales problemas para mí sería corrupción salud y movilidad. Y creo que afecta en general a todas las alcaldías Sin embargo, a la persona que arranca lo que tiene. tiene alcaldía, alcaldía, tiene colonias con índices altos de violencia y de delincuentes Por así decirlo Entonces este pues podremos decir que depende de la zona como tod",0.23302391171455383,0.7215302586555481,0.045445822179317474,-0.18757808208465576
2.0,Yo creo que sería como la corrupción la falta de transparencia la inseguridad. En también Yo opino que es como la desigualdad socioeconómica que vivimos. Y este y pues esos eran como mis,0.11374928057193756,0.8220647573471069,0.06418590992689133,-0.049563370645046234
2.0,"Yo diría que la vialidad porque pues yo creo que tanto como en esta delegación como en las demás creo que las calles y los caminos están mal, o sea, hace falta como ponerle un poco más de atención",0.1241108700633049,0.7944256067276001,0.0814635306596756,-0.0426473394036293
2.0,"Es la inseguridad los temas de movilidad. el tráfico y la Pues también la la ahora sí que cómo están las calles, el cuidado de las calles Pues los baches y todo eso y no sé Y tal vez. Ah no sé nada más, eso se me ocurren.",0.10573410987854004,0.7909145355224609,0.10335139185190201,-0.002382718026638031
2.0,"Yo pienso que una de las principales es la igual la inseguridad este Bueno más bien, hija, delincuencia que hay otro sería el transporte público también siento que cada vez hay más como población en el transporte público ya ya a veces ya no viajas a gusto, ya hay mucho muchos conflictos en en eso y tal vez igual lo de las calles.",0.13188336789608002,0.7950530648231506,0.07306354492902756,-0.05881982296705246
